2026-06-16 10:10:30.311041 |  | 507c88 | ALT:38000 | SPD:0 | LAT:0.0 | LON:0.0
2026-06-16 10:15:34.857255 |  | 4bb0f0 | ALT:35000 | SPD:520 | LAT:25.490936 | LON:83.720805
2026-06-16 10:15:55.593522 |  | 80184b | ALT:31000 | SPD:0 | LAT:0.0 | LON:0.0
2026-06-16 10:17:14.240034 |  | 80161d | ALT:0 | SPD:0 | LAT:0.0 | LON:0.0
2026-06-16 10:20:04.055623 |  | 4bb142 | ALT:0 | SPD:515 | LAT:0.0 | LON:0.0
2026-06-16 10:21:50.754292 |  | 8015ef | ALT:0 | SPD:0 | LAT:0.0 | LON:0.0
2026-06-16 10:22:16.117934 |  | 88517a | ALT:39000 | SPD:499 | LAT:0.0 | LON:0.0
2026-06-16 10:26:34.277179 | SIA401 | 76cc68 | ALT:0 | SPD:0 | LAT:0.0 | LON:0.0
2026-06-16 10:29:42.640102 |  | 800d09 | ALT:0 | SPD:0 | LAT:0.0 | LON:0.0
2026-06-16 10:36:43.396210 |  | 4ba948 | ALT:0 | SPD:0 | LAT:0.0 | LON:0.0
2026-06-16 10:41:00.056633 |  | 4bb0ef | ALT:41000 | SPD:0 | LAT:0.0 | LON:0.0
2026-06-16 10:42:18.379841 | THY164 | 4bb0ec | ALT:41000 | SPD:501 | LAT:0.0 | LON:0.0
2026-06-16 10:44:18.853702 |  | 8018cf | ALT:35000 | SPD:486 | LAT:0.0 | LON:0.0
2026-06-16 10:48:17.218412 |  | 4bb146 | ALT:0 | SPD:0 | LAT:0.0 | LON:0.0
2026-06-16 11:00:34.971392 |  | 68000a | ALT:0 | SPD:0 | LAT:0.0 | LON:0.0
2026-06-16 11:05:38.152971 |  | 800c48 | ALT:0 | SPD:0 | LAT:0.0 | LON:0.0
2026-06-16 11:12:04.445142 |  | 80145f | ALT:0 | SPD:0 | LAT:0.0 | LON:0.0
2026-06-16 11:21:28.352044 |  | 801822 | ALT:37000 | SPD:0 | LAT:0.0 | LON:0.0
2026-06-16 11:27:32.888744 |  | 899013 | ALT:36000 | SPD:0 | LAT:0.0 | LON:0.0
2026-06-16 11:48:52.350173 |  | 80153e | ALT:0 | SPD:0 | LAT:0.0 | LON:0.0
2026-06-16 11:57:23.165123 |  | 801698 | ALT:35000 | SPD:0 | LAT:0.0 | LON:0.0
2026-06-16 12:02:37.601888 |  | 702086 | ALT:36000 | SPD:0 | LAT:0.0 | LON:0.0
2026-06-16 12:13:45.448000 |  | 80162f | ALT:18800 | SPD:419 | LAT:0.0 | LON:0.0
2026-06-16 12:14:21.362923 |  | 80160f | ALT:35000 | SPD:0 | LAT:0.0 | LON:0.0
2026-06-16 12:17:13.866900 |  | 801562 | ALT:35000 | SPD:0 | LAT:0.0 | LON:0.0
2026-06-16 12:19:00.463178 |  | 6831e4 | ALT:0 | SPD:266 | LAT:0.0 | LON:0.0
2026-06-16 12:41:24.550806 |  | 800b14 | ALT:16675 | SPD:369 | LAT:0.0 | LON:0.0
2026-06-16 12:41:40.218301 | IGO461W | 801864 | ALT:35000 | SPD:484 | LAT:0.0 | LON:0.0
2026-06-16 12:51:48.297733 |  | 801444 | ALT:0 | SPD:0 | LAT:0.0 | LON:0.0
2026-06-16 12:51:59.963616 |  | 80163d | ALT:36975 | SPD:467 | LAT:0.0 | LON:0.0
2026-06-16 13:30:22.178259 |  | 8018ac | ALT:0 | SPD:133 | LAT:0.0 | LON:0.0
2026-06-16 13:30:37.842044 |  | 800462 | ALT:0 | SPD:471 | LAT:0.0 | LON:0.0
